SN,Average
1887,6.5
1888,75
1889,65
1890,65
1891,175
1892,115
1893,55
1894,350
1895,210
1896,55
1897,275
1898,52.5
1899,85
1900,65
1901,27.5
1902,16.5
1903,67.5
1904,55
1905,175
1906,175
1907,37.5
1908,55
1909,37.5
1910,65
1911,87.5
1912,65
1913,75
1914,55
1915,215
1916,57.5
1917,30
1918,23.5
1919,19.5
1920,51
1921,47.5
1922,16
1923,57.5
1924,22.5
1925,22.5
1926,37.5
1927,37.5
1928,135
1929,32.5
1930,55
1931,19
1932,19
1933,37.5
1934,29
1935,22.5
1936,22.5
1937,19
1938,29
1939,19
1940,30
1941,37.5
1942,37.5
1943,37.5
1944,37.5
1945,32.5
1946,37.5
1947,37.5
1948,165
1949,130
1950,55
1951,57.5
1952,65
1953,47.5
1954,125
1955,175
1956,47.5
1957,125
1958,47.5
1959,6.5
1960,75
1961,65
1962,65
1963,175
1964,125
1965,55
1966,350
1967,205
1968,65
1969,275
1970,47.5
1971,85
1972,65
1973,27.5
1974,16.5
1975,62.5
1976,175
1977,175
1978,37.5
1979,55
1980,37.5
1981,75
1982,87.5
1983,65
1984,85
1985,55
1986,215
1987,57.5
1988,32.5
1989,23.5
1990,18.5
1991,51
1992,47.5
1993,19
1994,57.5
1995,20
1996,27.5
1997,32.5
1998,37.5
1999,37.5
2000,57.5
2001,19
2002,19
2003,32.5
2004,27.5
2005,22.5
2006,22.5
2007,19
2008,27.5
2009,19
2010,32.5
2011,32.5
2012,37.5
2013,37.5
2014,37.5
2015,32.5
2016,37.5
2017,37.5
2018,155
2019,135
2020,55
2021,57.5
2022,65
2023,47.5
2024,125
2025,175
2026,47.5
2027,125
2028,47.5
2029,7.5
2030,75
2031,65
2032,65
2033,175
2034,105
2035,55
2036,350
2037,205
2038,65
2039,47.5
2040,85
2041,65
2042,27.5
2043,16.5
2044,62.5
2045,175
2046,175
2047,42.5
2048,57.5
2049,47.5
2050,75
2051,87.5
2052,55
2053,85
2054,55
2055,215
2056,52.5
2057,34
2058,23.5
2059,18.5
2060,51
2061,52.5
2062,18
2063,57.5
2064,22.5
2065,27.5
2066,37.5
2067,42.5
2068,32.5
2069,52.5
2070,19
2071,19
2072,37.5
2073,27.5
2074,27.5
2075,22.5
2076,19
2077,32.5
2078,22
2079,29
2080,32.5
2081,37.5
2082,37.5
2083,37.5
2084,32.5
2085,37.5
2086,37.5
2087,160
2088,135
2089,55
2090,57.5
2091,65
2092,47.5
2093,125
2094,175
2095,47.5
2096,125
2097,52.5
2098,6.5
2099,75
2100,65
2101,65
2102,175
2103,105
2104,55
2105,350
2106,205
2107,55
2108,52.5
2109,87.5
2110,65
2111,27.5
2112,16.5
2113,62.5
2114,175
2115,175
2116,42.5
2117,57.5
2118,47.5
2119,70
2120,87.5
2121,65
2122,85
2123,55
2124,205
2125,52.5
2126,42.5
2127,23.5
2128,18.5
2129,50.5
2130,52.5
2131,18
2132,57.5
2133,20
2134,27.5
2135,32.5
2136,42.5
2137,145
2138,32.5
2139,57.5
2140,22
2141,21
2142,32.5
2143,19
2144,27.5
2145,27.5
2146,19
2147,27.5
2148,20
2149,29
2150,32.5
2151,37.5
2152,37.5
2153,37.5
2154,27.5
2155,37.5
2156,37.5
2157,170
2158,135
2159,55
2160,57.5
2161,65
2162,47.5
2163,125
2164,175
2165,47.5
2166,125
2167,47.5
2168,7.5
2169,75
2170,65
2171,65
2172,175
2173,105
2174,55
2175,350
2176,205
2177,55
2178,47.5
2179,87.5
2180,65
2181,27.5
2182,16.5
2183,62.5
2184,175
2185,175
2186,32.5
2187,55
2188,47.5
2189,70
2190,85
2191,55
2192,85
2193,55
2194,205
2195,47.5
2196,42.5
2197,23.5
2198,18.5
2199,50.5
2200,52.5
2201,19
2202,57.5
2203,22.5
2204,29
2205,37.5
2206,37.5
2207,145
2208,32.5
2209,52.5
2210,21
2211,19
2212,32.5
2213,22.5
2214,27.5
2215,22.5
2216,19
2217,32.5
2218,22
2219,29
2220,32.5
2221,32.5
2222,32.5
2223,32.5
2224,27.5
2225,37.5
2226,32.5
2227,190
2228,135
2229,55
2230,57.5
2231,47.5
2232,125
2233,175
2234,47.5
2235,125
2236,47.5
2237,6.5
2238,75
2239,65
2240,65
2241,175
2242,105
2243,55
2244,350
2245,205
2246,55
2247,47.5
2248,87.5
2249,65
2250,27.5
2251,16.5
2252,65
2253,175
2254,175
2255,32.5
2256,55
2257,47.5
2258,75
2259,87.5
2260,55
2261,85
2262,205
2263,45
2264,42.5
2265,23.5
2266,20.5
2267,50.5
2268,52.5
